,doc_key,Points,Lead Time,Cycle Time
233,SOL-1484,8.0,74.0,1
234,SOL-1478,5.0,405.0,8
235,SOL-1477,8.0,301.0,6
236,SOL-1476,5.0,29.0,7
237,SOL-1471,13.0,127.0,0
238,SOL-1470,8.0,99.0,7
239,SOL-1469,5.0,125.0,0
240,SOL-1465,21.0,100.0,5
241,SOL-1464,13.0,86.0,13
242,SOL-1463,13.0,104.0,0
243,SOL-1455,8.0,20.0,5
244,SOL-1454,13.0,28.0,0
245,SOL-1453,8.0,41.0,4
246,SOL-1452,13.0,79.0,5
247,SOL-1451,5.0,29.0,0
248,SOL-1439,8.0,20.0,5
249,SOL-1435,13.0,175.0,6
250,SOL-1422,13.0,36.0,5
251,SOL-1421,13.0,35.0,0
252,SOL-1413,8.0,63.0,5
253,SOL-1412,8.0,119.0,11
254,SOL-1411,5.0,23.0,0
255,SOL-1410,13.0,147.0,7
256,SOL-1404,8.0,62.0,4
257,SOL-1402,8.0,64.0,0
258,SOL-1401,20.0,49.0,15
259,SOL-1392,5.0,44.0,10
260,SOL-1390,5.0,69.0,0
261,SOL-1389,5.0,56.0,0
262,SOL-1388,8.0,77.0,4
263,SOL-1387,8.0,63.0,9
264,SOL-1386,8.0,78.0,0
265,SOL-1385,20.0,63.0,31
266,SOL-1365,13.0,105.0,5
267,SOL-1364,8.0,46.0,3
268,SOL-1363,3.0,105.0,1
269,SOL-1362,13.0,61.0,4
270,SOL-1361,8.0,46.0,5
271,SOL-1360,2.0,21.0,12
272,SOL-1358,5.0,105.0,0
273,SOL-1357,5.0,74.0,12
274,SOL-1356,8.0,73.0,0
275,SOL-1355,5.0,45.0,0
276,SOL-1354,13.0,73.0,0
277,SOL-1353,20.0,60.0,0
278,SOL-1351,8.0,96.0,9
279,SOL-1348,5.0,23.0,13
280,SOL-1347,5.0,33.0,9
281,SOL-1335,13.0,777.0,0
282,SOL-1332,2.0,49.0,27
283,SOL-1331,20.0,70.0,17
284,SOL-1330,5.0,50.0,22
285,SOL-1327,3.0,48.0,16
286,SOL-1326,8.0,41.0,9
287,SOL-1321,13.0,142.0,29
288,SOL-1320,8.0,131.0,4
289,SOL-1314,2.0,4.0,0
290,SOL-1312,13.0,292.0,8
291,SOL-1311,13.0,292.0,8
292,SOL-1310,13.0,298.0,0
293,SOL-1308,13.0,35.0,19
294,SOL-1307,21.0,216.0,6
295,SOL-1298,13.0,75.0,0
296,SOL-1297,8.0,75.0,0
297,SOL-1296,13.0,75.0,0
298,SOL-1292,8.0,87.0,16
299,SOL-1291,13.0,245.0,18
300,SOL-1290,5.0,54.0,0
301,SOL-1289,5.0,277.0,0
302,SOL-1288,2.0,250.0,0
303,SOL-1262,5.0,322.0,1
304,SOL-1251,5.0,80.0,0
305,SOL-1225,8.0,316.0,0
306,SOL-1223,13.0,166.0,3
307,SOL-1222,8.0,356.0,8
308,SOL-1221,8.0,139.0,9
309,SOL-1219,8.0,126.0,0
310,SOL-1218,5.0,114.0,0
311,SOL-1217,5.0,114.0,0
312,SOL-1216,5.0,127.0,0
313,SOL-1215,5.0,357.0,0
314,SOL-1214,8.0,118.0,0
315,SOL-1213,8.0,357.0,0
316,SOL-1212,5.0,167.0,1
317,SOL-1068,8.0,34.0,0
318,SOL-1066,5.0,20.0,0
319,SOL-1065,3.0,20.0,0
320,SOL-1064,3.0,16.0,0
321,SOL-1042,13.0,83.0,5
322,SOL-1041,3.0,13.0,0
323,SOL-1039,40.0,83.0,21
324,SOL-1033,13.0,20.0,0
325,SOL-1032,20.0,20.0,2
326,SOL-1026,20.0,66.0,13
327,SOL-1025,5.0,56.0,13
328,SOL-1019,5.0,49.0,2
329,SOL-1016,2.0,33.0,0
330,SOL-1013,5.0,36.0,0
331,SOL-1006,8.0,120.0,29
332,SOL-989,2.0,112.0,20
333,SOL-988,2.0,112.0,20
334,SOL-972,8.0,113.0,19
335,SOL-971,8.0,106.0,10
336,SOL-970,13.0,106.0,19
337,SOL-969,8.0,99.0,19
338,SOL-968,8.0,94.0,19
339,SOL-966,13.0,114.0,22
340,SOL-964,13.0,94.0,11
341,SOL-963,8.0,83.0,13
342,SOL-962,8.0,78.0,4
343,SOL-960,13.0,84.0,4
344,SOL-959,8.0,71.0,4
345,SOL-958,3.0,100.0,6
346,SOL-957,8.0,99.0,9
347,SOL-956,2.0,108.0,20
348,SOL-955,3.0,31.0,6
349,SOL-954,3.0,133.0,18
350,SOL-953,13.0,129.0,36
351,SOL-952,8.0,97.0,11
352,SOL-951,13.0,60.0,0
353,SOL-950,13.0,64.0,0
354,SOL-949,3.0,15.0,0
355,SOL-948,3.0,49.0,0
356,SOL-947,3.0,56.0,0
357,SOL-946,3.0,53.0,0
358,SOL-945,5.0,57.0,0
359,SOL-944,8.0,53.0,0
360,SOL-943,3.0,52.0,0
361,SOL-942,5.0,45.0,0
362,SOL-941,8.0,45.0,0
363,SOL-940,5.0,46.0,0
364,SOL-939,8.0,49.0,0
365,SOL-938,5.0,46.0,0
366,SOL-937,8.0,49.0,0
367,SOL-936,13.0,52.0,9
368,SOL-935,3.0,14.0,0
369,SOL-934,2.0,11.0,0
370,SOL-933,2.0,22.0,0
371,SOL-930,8.0,15.0,1
372,SOL-929,2.0,10.0,6
373,SOL-919,8.0,1.0,0
374,SOL-917,5.0,80.0,71
375,SOL-916,13.0,81.0,8
376,SOL-915,3.0,123.0,49
377,SOL-914,13.0,28.0,0
378,SOL-913,2.0,92.0,26
379,SOL-912,8.0,28.0,3
380,SOL-911,5.0,14.0,3
381,SOL-910,3.0,94.0,27
382,SOL-908,3.0,8.0,5
383,SOL-905,3.0,9.0,2
384,SOL-904,8.0,28.0,2
385,SOL-903,3.0,9.0,2
386,SOL-902,8.0,147.0,81
387,SOL-901,8.0,28.0,2
388,SOL-900,3.0,9.0,2
389,SOL-899,3.0,8.0,6
390,SOL-898,8.0,147.0,80
391,SOL-897,3.0,14.0,11
392,SOL-896,8.0,112.0,22
393,SOL-895,3.0,9.0,0
394,SOL-894,3.0,9.0,1
395,SOL-893,1.0,9.0,6
396,SOL-892,8.0,14.0,6
397,SOL-891,2.0,88.0,22
398,SOL-890,2.0,8.0,1
399,SOL-889,1.0,91.0,21
400,SOL-888,1.0,82.0,8
401,SOL-887,1.0,91.0,21
402,SOL-886,8.0,15.0,7
403,SOL-885,1.0,5.0,0
404,SOL-878,1.0,15.0,1
405,SOL-870,0.5,14.0,7
406,SOL-869,0.5,14.0,7
407,SOL-867,0.5,14.0,13
408,SOL-866,0.5,14.0,14
409,SOL-855,2.0,56.0,0
410,SOL-852,20.0,103.0,8
411,SOL-851,3.0,91.0,4
412,SOL-850,13.0,89.0,0
413,SOL-849,5.0,84.0,0
414,SOL-848,3.0,82.0,0
415,SOL-847,5.0,98.0,9
416,SOL-844,3.0,74.0,0
417,SOL-842,8.0,182.0,38
418,SOL-841,13.0,169.0,30
419,SOL-837,5.0,168.0,46
420,SOL-836,3.0,48.0,20
421,SOL-835,10.0,34.0,6
422,SOL-634,5.0,337.0,0
